"Name","DisplayName","StartType"
"AASSvc","Acer Agent Service","Automatic"
"AcerARTAIMMXDriverService","AcerARTAIMMXDriverService","Automatic"
"AcerARTAIMMXService","AcerARTAIMMXService","Automatic"
"AcerCCAgentSvis","Acer Care Center","Automatic"
"AcerDeviceEnablingServiceV2","Acer Device Enabling Sevice V2","Automatic"
"AcerDIAgentSvis","Acer Device Info","Automatic"
"AcerEZSvc","Acer Experience Zone Component Service","Automatic"
"AcerGAICameraService","AcerGAICameraService","Automatic"
"AcerLightingService","Acer Lighting Service","Automatic"
"AcerPixyService","AcerPixyService","Automatic"
"AcerQAAgentSvis","Acer Quick Access","Automatic"
"AcerServiceSvc","Acer Service Component Service","Automatic"
"Appinfo","Application Information","Manual"
"AppXSvc","AppX Deployment Service (AppXSVC)","Automatic"
"ASMSvc","Acer System Monitor Service","Automatic"
"AudioEndpointBuilder","Windows Audio Endpoint Builder","Automatic"
"Audiosrv","Windows Audio","Automatic"
"BFE","Base Filtering Engine","Automatic"
"BluetoothUserService_199e2f","Bluetooth User Support Service_199e2f","Manual"
"BrokerInfrastructure","Background Tasks Infrastructure Service","Automatic"
"BTAGService","Bluetooth Audio Gateway Service","Manual"
"BthAvctpSvc","AVCTP service","Automatic"
"bthserv","Bluetooth Support Service","Manual"
"camsvc","Capability Access Manager Service","Manual"
"cbdhsvc_199e2f","Clipboard User Service_199e2f","Automatic"
"CDPSvc","Connected Devices Platform Service","Manual"
"CDPUserSvc_199e2f","Connected Devices Platform User Service_199e2f","Automatic"
"ClipSVC","Client License Service (ClipSVC)","Manual"
"CoreMessagingRegistrar","CoreMessaging","Automatic"
"cplspcon","Intel(R) Content Protection HDCP Service","Automatic"
"CryptSvc","Cryptographic Services","Automatic"
"DcomLaunch","DCOM Server Process Launcher","Automatic"
"DeviceAssociationService","Device Association Service","Automatic"
"DeviceInstall","Device Install Service","Manual"
"DevicesFlowUserSvc_199e2f","DevicesFlow_199e2f","Manual"
"DevQueryBroker","DevQuery Background Discovery Broker","Manual"
"Dhcp","DHCP Client","Automatic"
"DispBrokerDesktopSvc","Display Policy Service","Automatic"
"DisplayEnhancementService","Display Enhancement Service","Manual"
"Dnscache","DNS Client","Automatic"
"DoSvc","Delivery Optimization","Automatic"
"DPS","Diagnostic Policy Service","Automatic"
"dptftcs","Intel(R) Dynamic Tuning Technology Telemetry Service","Automatic"
"DtsApo4Service","DtsApo4Service","Automatic"
"DusmSvc","Data Usage","Automatic"
"EventLog","Windows Event Log","Automatic"
"EventSystem","COM+ Event System","Automatic"
"FontCache","Windows Font Cache Service","Automatic"
"GameInputRedistService","GameInput Redist Service","Automatic"
"GameInputSvc","GameInput Service","Manual"
"GamingServices","Gaming Services","Automatic"
"GamingServicesNet","Gaming Services","Automatic"
"gpsvc","Group Policy Client","Automatic"
"hidserv","Human Interface Device Service","Manual"
"hns","Host Network Service","Manual"
"HvHost","HV Host Service","Manual"
"IKEEXT","IKE and AuthIP IPsec Keying Modules","Automatic"
"InstallService","Microsoft Store Install Service","Automatic"
"IntelAudioService","Intel(R) Audio Service","Automatic"
"IntelGraphicsSoftwareService","Intel? Graphics Software","Automatic"
"ipfsvc","Intel(R) Innovation Platform Framework Service","Automatic"
"iphlpsvc","IP Helper","Automatic"
"jhi_service","Intel(R) Dynamic Application Loader Host Interface Service","Automatic"
"KeyIso","CNG Key Isolation","Automatic"
"LanmanServer","Server","Automatic"
"LanmanWorkstation","Workstation","Automatic"
"lfsvc","Geolocation Service","Manual"
"LicenseManager","Windows License Manager Service","Manual"
"lmhosts","TCP/IP NetBIOS Helper","Manual"
"LSM","Local Session Manager","Automatic"
"MDCoreSvc","Microsoft Defender Core Service","Automatic"
"mpssvc","Windows Defender Firewall","Automatic"
"MTKBTSVC","MTKBTSVC","Automatic"
"MyDock","MyDock","Automatic"
"NcbService","Network Connection Broker","Manual"
"netprofm","Network List Service","Manual"
"NPSMSvc_199e2f","Now Playing Session Manager Service_199e2f","Manual"
"nsi","Network Store Interface Service","Automatic"
"nvagent","Network Virtualization Service","Manual"
"NvContainerLocalSystem","NVIDIA LocalSystem Container","Automatic"
"NVDisplay.ContainerLocalSystem","NVIDIA Display Container LS","Automatic"
"PcaSvc","Program Compatibility Assistant Service","Manual"
"PCManager Service Store","Microsoft PC Manager Service","Automatic"
"PDF24","PDF24","Automatic"
"PhoneSvc","Phone Service","Manual"
"PlugPlay","Plug and Play","Manual"
"PolicyAgent","IPsec Policy Agent","Manual"
"Power","Power","Automatic"
"ProfSvc","User Profile Service","Automatic"
"RasMan","Remote Access Connection Manager","Manual"
"RmSvc","Radio Management Service","Manual"
"RpcEptMapper","RPC Endpoint Mapper","Automatic"
"RpcSs","Remote Procedure Call (RPC)","Automatic"
"RstMwService","Intel(R) Storage Middleware Service","Automatic"
"RtkAudioUniversalService","Realtek Audio Universal Service","Automatic"
"SamSs","Security Accounts Manager","Automatic"
"Schedule","Task Scheduler","Automatic"
"SecurityHealthService","Windows Security Service","Manual"
"SENS","System Event Notification Service","Automatic"
"SharedAccess","Internet Connection Sharing (ICS)","Manual"
"ShellHWDetection","Shell Hardware Detection","Automatic"
"Spooler","Print Spooler","Automatic"
"SSDPSRV","SSDP Discovery","Manual"
"ssh-agent","OpenSSH Authentication Agent","Automatic"
"sshd","OpenSSH SSH Server","Automatic"
"SstpSvc","Secure Socket Tunneling Protocol Service","Manual"
"StateRepository","State Repository Service","Automatic"
"StiSvc","Windows Image Acquisition (WIA)","Automatic"
"StorSvc","Storage Service","Manual"
"SystemEventsBroker","System Events Broker","Automatic"
"TextInputManagementService","Text Input Management Service","Automatic"
"Themes","Themes","Automatic"
"TimeBrokerSvc","Time Broker","Manual"
"TokenBroker","Web Account Manager","Manual"
"TrkWks","Distributed Link Tracking Client","Automatic"
"UdkUserSvc_199e2f","Udk User Service_199e2f","Manual"
"UserManager","User Manager","Automatic"
"UsoSvc","Update Orchestrator Service","Manual"
"VaultSvc","Credential Manager","Manual"
"Wallpaper Engine Service","Wallpaper Engine Service","Automatic"
"Wcmsvc","Windows Connection Manager","Automatic"
"WdiSystemHost","Diagnostic System Host","Manual"
"WdNisSvc","Microsoft Defender Antivirus Network Inspection Service","Manual"
"webthreatdefsvc","Web Threat Defense Service","Manual"
"webthreatdefusersvc_199e2f","Web Threat Defense User Service_199e2f","Automatic"
"WFDSConMgrSvc","Wi-Fi Direct Services Connection Manager Service","Manual"
"whesvc","Windows Health and Optimized Experiences","Automatic"
"WinDefend","Microsoft Defender Antivirus Service","Automatic"
"WinHttpAutoProxySvc","WinHTTP Web Proxy Auto-Discovery Service","Manual"
"Winmgmt","Windows Management Instrumentation","Automatic"
"WlanSvc","WLAN AutoConfig","Automatic"
"WMIRegistrationService","Intel(R) Management Engine WMI Provider Registration","Automatic"
"WpnService","Windows Push Notifications System Service","Manual"
"WpnUserService_199e2f","Windows Push Notifications User Service_199e2f","Automatic"
"wscsvc","Security Center","Automatic"
"WSearch","Windows Search","Automatic"
"WSLService","WSL Service","Automatic"
